stock_code,symbol,name,category,sub_category,currency
0001,0001.HK,CKH HOLDINGS,Equity,Equity Securities (Main Board),HKD
0002,0002.HK,CLP HOLDINGS,Equity,Equity Securities (Main Board),HKD
0003,0003.HK,HK & CHINA GAS,Equity,Equity Securities (Main Board),HKD
0004,0004.HK,WHARF HOLDINGS,Equity,Equity Securities (Main Board),HKD
0005,0005.HK,HSBC HOLDINGS,Equity,Equity Securities (Main Board),HKD
0006,0006.HK,POWER ASSETS,Equity,Equity Securities (Main Board),HKD
0007,0007.HK,WISDOM WEALTH,Equity,Equity Securities (Main Board),HKD
0008,0008.HK,PCCW,Equity,Equity Securities (Main Board),HKD
0010,0010.HK,HANG LUNG GROUP,Equity,Equity Securities (Main Board),HKD
0012,0012.HK,HENDERSON LAND,Equity,Equity Securities (Main Board),HKD
0013,0013.HK,HUTCHMED,Equity,Equity Securities (Main Board),HKD
0014,0014.HK,HYSAN DEV,Equity,Equity Securities (Main Board),HKD
0016,0016.HK,SHK PPT,Equity,Equity Securities (Main Board),HKD
0017,0017.HK,NEW WORLD DEV,Equity,Equity Securities (Main Board),HKD
0018,0018.HK,ORIENTAL M G,Equity,Equity Securities (Main Board),HKD
0019,0019.HK,SWIRE PACIFIC A,Equity,Equity Securities (Main Board),HKD
0020,0020.HK,SENSETIME-W,Equity,Equity Securities (Main Board),HKD
0021,0021.HK,GREAT CHI HLDGS,Equity,Equity Securities (Main Board),HKD
0022,0022.HK,MEXAN-NEW,Equity,Equity Securities (Main Board),HKD
0023,0023.HK,BANK OF E ASIA,Equity,Equity Securities (Main Board),HKD
0025,0025.HK,CHEVALIER INT'L,Equity,Equity Securities (Main Board),HKD
0026,0026.HK,CHINA MOTOR BUS,Equity,Equity Securities (Main Board),HKD
0027,0027.HK,GALAXY ENT,Equity,Equity Securities (Main Board),HKD
0028,0028.HK,TIAN AN,Equity,Equity Securities (Main Board),HKD
0029,0029.HK,DYNAMIC HOLD,Equity,Equity Securities (Main Board),HKD
0030,0030.HK,YNBY INTL,Equity,Equity Securities (Main Board),HKD
0031,0031.HK,CHINA AEROSPACE,Equity,Equity Securities (Main Board),HKD
0032,0032.HK,CROSS-HAR(HOLD),Equity,Equity Securities (Main Board),HKD
0033,0033.HK,INTL GENIUS,Equity,Equity Securities (Main Board),HKD
0034,0034.HK,KOWLOON DEV,Equity,Equity Securities (Main Board),HKD
0035,0035.HK,FE CONSORT INTL,Equity,Equity Securities (Main Board),HKD
0036,0036.HK,FE HLDGS INTL,Equity,Equity Securities (Main Board),HKD
0037,0037.HK,FE HOTELS,Equity,Equity Securities (Main Board),HKD
0038,0038.HK,FIRST TRACTOR,Equity,Equity Securities (Main Board),HKD
0039,0039.HK,CH BEIDAHUANG,Equity,Equity Securities (Main Board),HKD
0040,0040.HK,GOLD PEAK,Equity,Equity Securities (Main Board),HKD
0041,0041.HK,GREAT EAGLE H,Equity,Equity Securities (Main Board),HKD
0042,0042.HK,NE ELECTRIC,Equity,Equity Securities (Main Board),HKD
0045,0045.HK,HK&S HOTELS,Equity,Equity Securities (Main Board),HKD
