stock_code,symbol,name,category,sub_category,reason,avg_turnover_30d_hkd,valid_days
0007,0007.HK,WISDOM WEALTH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
0010,0010.HK,HANG LUNG GROUP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,8715487.4,43
0018,0018.HK,ORIENTAL M G,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,129456.12,43
0021,0021.HK,GREAT CHI HLDGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,32682.78,42
0022,0022.HK,MEXAN-NEW,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,279765.15,43
0025,0025.HK,CHEVALIER INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,68874.58,43
0026,0026.HK,CHINA MOTOR BUS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,161062.04,43
0028,0028.HK,TIAN AN,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,266688.2,43
0029,0029.HK,DYNAMIC HOLD,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,383419.67,43
0030,0030.HK,YNBY INTL,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1298210.74,43
0031,0031.HK,CHINA AEROSPACE,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,6921963.67,43
0032,0032.HK,CROSS-HAR(HOLD),Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,68065.76,43
0033,0033.HK,INTL GENIUS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
0034,0034.HK,KOWLOON DEV,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1057962.45,43
0035,0035.HK,FE CONSORT INTL,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,374871.84,43
0036,0036.HK,FE HLDGS INTL,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
0037,0037.HK,FE HOTELS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,330102.0,43
0039,0039.HK,CH BEIDAHUANG,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
0040,0040.HK,GOLD PEAK,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,36418.87,43
0041,0041.HK,GREAT EAGLE H,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,4244417.23,43
0042,0042.HK,NE ELECTRIC,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,78454.5,43
0045,0045.HK,HK&S HOTELS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1440467.46,43
0046,0046.HK,COMPUTER & TECH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,36421.43,42
0048,0048.HK,C AUTO INT DECO,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,10935.37,43
0050,0050.HK,HK FERRY (HOLD),Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,422458.3,43
0051,0051.HK,HARBOUR CENTRE,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,13254.05,43
0052,0052.HK,FAIRWOOD HOLD,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,499479.7,43
0053,0053.HK,GUOCO GROUP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,446805.82,43
0055,0055.HK,NEWAY GROUP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,6586.62,42
0057,0057.HK,CHEN HSONG HOLD,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,150419.2,43
0058,0058.HK,SUNWAY INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,3557.3,42
0059,0059.HK,SKYFAME REALTY,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
0060,0060.HK,HK FOOD INV,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,21832.17,43
0061,0061.HK,GREEN LEAD-NEW,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,9255.14,43
0062,0062.HK,TRANSPORT INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1354478.98,43
0063,0063.HK,CHI ASIA VALLEY,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,22522.37,43
0064,0064.HK,GET NICE,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1129415.89,43
0065,0065.HK,GRAND OCEAN AR,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,125605.45,43
0069,0069.HK,SHANGRI-LA ASIA,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,2000034.96,43
0070,0070.HK,RICH GOLDMAN,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1363.06,43
0071,0071.HK,MIRAMAR HOTEL,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,599384.06,43
0072,0072.HK,META MEDIA,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,2325.33,43
0073,0073.HK,ASIAN CITRUS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,4239.14,43
0075,0075.HK,Y.T. REALTY,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,2452.2,43
0076,0076.HK,ELATE HOLDINGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,18591.97,43
0077,0077.HK,AMS TRANSPORT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,24292.13,43
0078,0078.HK,REGAL INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,161719.35,43
0079,0079.HK,CENTURY LEGEND,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,26471.12,43
0080,0080.HK,CAI CORP,Equity,Investment Companies,avg_turnover_30d_below_15m_hkd,297731.67,43
0082,0082.HK,CRAZY SPORTS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,351657.86,43
0084,0084.HK,STELUX HOLDINGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,36169.62,43
0085,0085.HK,CE HUADA TECH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1349132.23,43
0086,0086.HK,SUN HUNG KAI CO,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1194762.94,43
0087,0087.HK,SWIRE PACIFIC B,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,14410968.58,43
0088,0088.HK,TAI CHEUNG HOLD,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,755790.55,43
0089,0089.HK,TAI SANG LAND,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,24777.33,42
0090,0090.HK,PUXING ENERGY,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,92375.33,43
0092,0092.HK,CHAMPION TECH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,27418.6,43
0093,0093.HK,ZERO FINTECH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1435.67,43
0094,0094.HK,GREENHEART GP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,22314.5,43
0095,0095.HK,LVGEM CHINA,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,560204.2,43
0096,0096.HK,YUSEI,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,14299.33,43
0097,0097.HK,HENDERSON INV,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,35033.29,43
0098,0098.HK,XINGFA ALUM,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,78002.0,42
0099,0099.HK,WONG'S INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,1203.33,42
0103,0103.HK,SHOUGANG CENT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,70198.13,43
0104,0104.HK,ASIA COMM HOLD,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,103398.0,43
0105,0105.HK,ASSO INT HOTELS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,4947.33,42
0106,0106.HK,LANDSEA MGMT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
0107,0107.HK,SICHUAN EXPRESS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,7084865.08,43
0108,0108.HK,SR MEDICAL,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,3397259.33,43
0110,0110.HK,CHINA FORTUNE,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,572300.41,43
0111,0111.HK,CINDA INTL HLDG,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,320748.67,43
0113,0113.HK,DICKSON CONCEPT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,357486.31,43
0114,0114.HK,HERALD HOLD,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,68761.67,42
0115,0115.HK,GRAND FIELD GP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
0116,0116.HK,CHOW SANG SANG,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,9807051.39,43
0118,0118.HK,COSMOS MACH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,68329.77,43
0120,0120.HK,COSMOPOL INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,12941.55,43
0122,0122.HK,CROCODILE,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,21925.62,43
0124,0124.HK,GD LAND,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,192843.34,43
0125,0125.HK,SUN HING VISION,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,5076.67,42
0126,0126.HK,CARRIANNA,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,21383.27,43
0127,0127.HK,CHINESE EST H,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,161918.01,43
0128,0128.HK,ENM HOLDINGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,11589.33,43
0129,0129.HK,ASIA STANDARD,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,24559.74,43
0130,0130.HK,MOISELLE INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,18139.13,42
0131,0131.HK,CHEUK NANG HOLD,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,61639.24,43
0132,0132.HK,HING YIP HLDGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,8081.06,43
0133,0133.HK,CHINA MERCHANTS,Equity,Investment Companies,avg_turnover_30d_below_15m_hkd,14524174.27,43
0137,0137.HK,JINHUI HOLDINGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,4715.0,42
0138,0138.HK,CCT FORTIS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,2448.65,42
0139,0139.HK,SMART FISH,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,5014630.99,43
0145,0145.HK,CCIAM FUTURE EN,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,175111.28,43
0146,0146.HK,TAI PING CARPET,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,22872.33,43
0147,0147.HK,IB SETTLEMENT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,449270.03,43
0149,0149.HK,CH AGRI-PROD EX,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,331129.73,43
0150,0150.HK,HYPEBEAST,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,25180.03,43
0154,0154.HK,BE ENVIRONMENT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,39430.5,43
0156,0156.HK,LIPPO CHINA RES,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,61379.6,43
0157,0157.HK,NATURAL BEAUTY,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,10830.0,43
0158,0158.HK,MELBOURNE ENT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,2811.67,42
0159,0159.HK,BROCKMAN MINING,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,28843.31,43
0160,0160.HK,HON KWOK LAND,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,55743.89,42
0162,0162.HK,CENTURY GINWA,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,7289.27,42
0163,0163.HK,EMPEROR INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,16345.59,43
0164,0164.HK,CHINA BAOLI TEC,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,140243.92,43
0166,0166.HK,NEW TIMES CORP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,30292.42,43
0167,0167.HK,IDT INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,908368.99,43
0169,0169.HK,WANDA HOTEL DEV,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,107631.7,43
0171,0171.HK,SILVER GRANT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,147072.6,43
0173,0173.HK,K. WAH INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,2108313.65,43
0174,0174.HK,GEMINI INV,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,3869.27,42
0176,0176.HK,SUPERACTIVE GP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,0.0,42
0178,0178.HK,SA SA INT'L,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,4403739.71,43
0180,0180.HK,KADER HOLDINGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,3668.85,42
0181,0181.HK,FUJIAN HOLDINGS,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,751.33,42
0182,0182.HK,CONCORD NE,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,7652042.52,43
0183,0183.HK,WINFULL GP,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,10059.52,42
0184,0184.HK,KECK SENG INV,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,91494.35,42
0185,0185.HK,ZENSUN ENT,Equity,Equity Securities (Main Board),avg_turnover_30d_below_15m_hkd,38864.9,43
